"touchpoint","satisfied_avg","dissatisfied_avg","gap"
"Online Boarding","4.03","2.66","1.37"
"Inflight Entertainment","3.96","2.89","1.07"
"Seat Comfort","3.97","3.04","0.93"
"Onboard Service","3.86","3.02","0.84"
"Leg Room Service","3.82","2.99","0.83"
"Cleanliness","3.74","2.94","0.81"
"Inflight Wifi","3.16","2.40","0.76"
"Checkin Service","3.65","3.04","0.60"
"Baggage Handling","3.97","3.38","0.59"
"Inflight Service","3.97","3.39","0.58"
"Food And Drink","3.52","2.96","0.56"
"Ease Of Online Booking","3.03","2.55","0.48"
"Gate Location","2.98","2.98","0.00"
"Departure Arrival Convenient","2.97","3.13","-0.16"
